MY PC

Operazione;1000;2500;5000;8000;10000;15000
Somma;0.002317;0.013848;0.055129;0.142010;0.227784;0.504650
Sottrazione;0.002324;0.013921;0.054900;0.142941;0.227505;0.504767
Prodotto;0.002344;0.014010;0.055036;0.143293;0.226141;0.504829
Divisione;0.002352;0.013953;0.055298;0.142226;0.227948;0.505007
Modulo;0.002298;0.013880;0.055009;0.142129;0.227835;0.505035



RISC-V

Operazione;1000;2500;5000;8000;10000;15000   
Somma;0.011256;0.069917;0.279804;0.714786;1.117411;2.512942
Sottrazione;0.011237;0.069850;0.279895;0.714680;1.117352;2.512978
Prodotto;0.011234;0.069899;0.279219;0.715381;1.117296;2.514183
Divisione;0.011170;0.069781;0.279884;0.714673;1.116763;2.513539
Modulo;0.011212;0.069845;0.279913;0.715371;1.117348;2.514198
